Transaction Date,Post Date,Description,Category,Amount,Custom Category,User,Group
1/27/24,1/29/24,MCDONALD'S (AMK),Food & Drink,-9,Food,Both,
1/28/24,1/28/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.59,Fees,Kevin,
1/27/24,1/28/24,FAIRPRICE XTRA-AMK,Food & Drink,-19.99,Groceries,Both,
1/28/24,1/28/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-4.01,Fees,Kevin,
1/27/24,1/28/24,SP SUSY + BAE,Merchandise & Inventory,-133.69,Shopping,Mon,
1/28/24,1/28/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.5,Fees,Kevin,
1/27/24,1/28/24,COMFORT/CITYCAB TAXI,Travel,-16.95,Transport,Both,
1/26/24,1/26/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.25,Fees,Kevin,
1/25/24,1/26/24,FAIRPRICE XTRA-AMK,Food & Drink,-8.65,Groceries,Both,
1/25/24,1/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.32,Fees,Kevin,
1/24/24,1/25/24,PET LOVERS CENTRE PTE LTD,Merchandise & Inventory,-10.92,Charlie,Both,
